VIN	order_num	vendor_name	part_number	description	price	status	qty
C3ENYLKQ8AP853622	001	Finjob	FB-EAEESS0058	Battery control system	11.36	installed	4	
C3ENYLKQ8AP853622	001	Finjob	FB-EAES0125	Switch panel	20.43	installed	1	
C3ENYLKQ8AP853622	001	Finjob	FB-EAEWH0130	Interior harness	34.98	installed	1	
C3ENYLKQ8AP853622	001	Finjob	FB-PACBS0193	Brake duct hose	40.29	installed	1	
CMI2TOM7S2T094938	004	Finjob	FB-EAESS0117	Starter Motor	55.10	installed	1	
F8PNEJV38BP709528	003	Finjob	FB-BAED0027	Door seal	4.07	installed	1	
F8PNEJV38BP709528	003	Finjob	FB-PACBS0178	Brake roll	81.31	installed	1	
F8PNEJV38BP709528	003	Finjob	FB-PACBS0195	Load-sensing valve	140.75	installed	3	
F8PNEJV38BP709528	003	Finjob	FB-PACBS0196	Master Cylinder	90.74	installed	3	
FK7Q7XYMZUL655715	003	Finjob	FB-EAEESS0057	Battery cable	80.20	installed	1	
FK7Q7XYMZUL655715	003	Finjob	FB-EAES0101	Manifold absolute pressure sensor	73.86	installed	1	
GOQGJ0XOFTZ166566	002	Finjob	FB-PACBS0172	Brake drum	77.34	installed	1	
J1VNUR4JO2K739404	001	Finjob	FB-ICS0162	Seat track	45.38	received	1	
J5XDPCEM4GJ112345	001	Finjob	FB-BAE0020	Trunk	63.94	ordered	4	
J5XDPCEM4GJ112345	001	Finjob	FB-EAECS0051	Alternator fan	70.27	ordered	2	
J5XDPCEM4GJ112345	001	Finjob	FB-EAELASS0088	Interior light and lamp	63.51	ordered	1	
J5XDPCEM4GJ112345	001	Finjob	FB-EAES0108	Transmission input and output sensor	27.69	received	1	
JS888P7A266025942	001	Finjob	FB-ICS0153	Armrest	49.89	installed	1	
JYY1BDC2RVA780226	001	Finjob	FB-EAEAD0046	Tuner	18.14	received	1	
JYY1BDC2RVA780226	001	Finjob	FB-EAEGAM0065	Fuel gauge	0.16	installed	1	
MM825YZ686X514495	001	Finjob	FB-EAEAD0044	Other devices	308.43	ordered	1	
MM825YZ686X514495	001	Finjob	FB-EAEWH0129	Engine compartment harness	18.52	ordered	3	
MUBBDO4BEW6968551	001	Finjob	FB-EAEM0150	Wiring connector	238.41	installed	1	
NE217XL1T4C839531	001	Finjob	FB-EAES0094	Anti-pinch sensor	137.01	installed	1	
NE217XL1T4C839531	001	Finjob	FB-EAES0109	ABS brack sensor	98.35	installed	1	
NE217XL1T4C839531	004	Finjob	FB-EAECS0049	Alternator bearing	176.89	installed	1	
NE217XL1T4C839531	004	Finjob	FB-EAEESS0056	Battery cable terminal	176.77	installed	1	
NE217XL1T4C839531	004	Finjob	FB-EAES0122	Power window switch	230.52	installed	1	
NE217XL1T4C839531	004	Finjob	FB-PACBS0194	Hydraulic booster unit	141.61	installed	1	
OPD07EW5Y63065861	001	Finjob	FB-EAEM0140	Fuse	141.05	received	1	
P6U8HFY7QRU695920	003	Finjob	FB-EAEAD0046	Tuner	182.73	installed	1	
P6U8HFY7QRU695920	003	Finjob	FB-EAEM0140	Fuse	129.82	installed	1	
P6U8HFY7QRU695920	003	Finjob	FB-EAES0102	Oxygen sensor	29.69	installed	1	
P6U8HFY7QRU695920	003	Finjob	FB-EAES0121	Ignition Switch	196.04	installed	1	
QUAAGE4JWIU586515	004	Finjob	FB-EAEM0145	Remote lock	68.16	installed	2	
QUAAGE4JWIU586515	004	Finjob	FB-ICS0156	Children and baby car seat	54.08	installed	1	
RPC2H6BY7ZQ931559	002	Finjob	FB-BAED0028	Door watershield	31.37	installed	1	
RPC2H6BY7ZQ931559	002	Finjob	FB-PACBS0169	Brake backing pad	78.20	installed	1	
RPC2H6BY7ZQ931559	002	Finjob	FB-PACBS0179	Brake rotor	118.35	installed	1	
TJQJ55RQI0H014163	001	Finjob	FB-ICS0156	Children and baby car seat	37.90	installed	2	
TS0FIULENAG000396	002	Finjob	FB-EAES0093	Airbag sensor	518.11	installed	1	
U17OFSXHSEM503736	001	Finjob	FB-BAE0016	Spoiler	99.87	installed	1	
U17OFSXHSEM503736	001	Finjob	FB-EAES0102	Oxygen sensor	6.83	installed	1	
U17OFSXHSEM503736	001	Finjob	FB-ICS0158	Headrest	36.73	installed	1	
U17OFSXHSEM503736	001	Finjob	FB-PACBS0177	Brake pump	31.57	installed	1	
UBTL1IWABB8760167	004	Finjob	FB-EAES0099	Knock sensor	74.52	installed	4	
UBTL1IWABB8760167	004	Finjob	FB-ICS0159	Seat Belt	86.18	installed	2	
UBTL1IWABB8760167	004	Finjob	FB-IFCAP0151	Carpet and other floor material	74.23	installed	1	
UBTL1IWABB8760167	004	Finjob	FB-PACBS0165	Adjusting mechanism	75.32	installed	1	
WN7Q6ZTFZ15317302	001	Finjob	FB-BAE0005	Decklid	63.64	received	1	
WN7Q6ZTFZ15317302	001	Finjob	FB-BAE0018	Rear spoiler	35.27	ordered	1	
WN7Q6ZTFZ15317302	001	Finjob	FB-BAE0019	Trim package	10.64	received	1	
WN7Q6ZTFZ15317302	001	Finjob	FB-PACBS0170	Brake cooling duct	5.85	ordered	1	
XAH1ZZICK0H241287	003	Finjob	FB-BAE0004	Cowl screen	230.98	installed	1	
XAH1ZZICK0H241287	003	Finjob	FB-EAEESS0055	Battery box	36.87	installed	1	
XAH1ZZICK0H241287	003	Finjob	FB-EAEGAM0065	Fuel gauge	95.66	installed	1	
XAH1ZZICK0H241287	003	Finjob	FB-EAES0113	Oil level sensor	211.61	installed	2	
YJWCDTAOP2Z769432	002	Finjob	FB-EAESS0119	Spark Plug	194.94	ordered	1	
YXLTW4UDO4P879868	001	Finjob	FB-BAEW0039	Windshield washer motor	19.32	installed	1	
2HYIZGUWIQF039003	004	Ganjaflex	GX-EAELASS0083	Engine bay lighting	92.56	ordered	1	
2HYIZGUWIQF039003	004	Ganjaflex	GX-PACBS0164	ABS steel pin	212.39	installed	1	
2HYIZGUWIQF039003	004	Ganjaflex	GX-PACBS0183	Shoe web	262.10	installed	1	
2HYIZGUWIQF039003	004	Ganjaflex	GX-PACBS0197	Metering valve	150.38	received	1	
5JQQ7YRMKWE539035	001	Ganjaflex	GX-EAESS0119	Spark Plug	124.57	installed	1	
6DOO2Y5ZN3C006211	001	Ganjaflex	GX-BAE0000	Bonnet/hood	12.50	received	1	
6DOO2Y5ZN3C006211	001	Ganjaflex	GX-EAEWH0129	Engine compartment harness	68.17	ordered	1	
6DOO2Y5ZN3C006211	001	Ganjaflex	GX-ICS0155	Bucket Seat	345.90	ordered	2	
6DOO2Y5ZN3C006211	001	Ganjaflex	GX-PACBS0170	Brake cooling duct	101.39	ordered	1	
6UGIW017LCI060007	002	Ganjaflex	GX-EAELASS0089	License plate lamp	116.60	received	1	
6UGIW017LCI060007	002	Ganjaflex	GX-EAEM0137	Door contact	47.65	ordered	1	
6UGIW017LCI060007	002	Ganjaflex	GX-EAES0109	ABS brack sensor	99.00	received	1	
ATOFM1EBV8T015290	002	Ganjaflex	GX-EAELASS0085	Halogen	17.14	installed	1	
ATOFM1EBV8T015290	002	Ganjaflex	GX-EAES0108	Transmission input and output sensor	25.17	installed	1	
ATTHVVKMWBJ298534	002	Ganjaflex	GX-EAEGAM0071	Tire pressure gauge	18.46	installed	1	
ATTHVVKMWBJ298534	002	Ganjaflex	GX-PACBS0177	Brake pump	22.40	installed	2	
BX1TFRAUCMT043629	005	Ganjaflex	GX-EAECS0050	Alternator bracket	564.70	installed	1	
BX1TFRAUCMT043629	005	Ganjaflex	GX-ICS0153	Armrest	116.09	installed	1	
BX1TFRAUCMT043629	005	Ganjaflex	GX-PACBS0180	Brake servo	761.97	installed	2	
BX1TFRAUCMT043629	005	Ganjaflex	GX-PACBS0188	Dual circuit brake system	204.72	installed	3	
CILK8KOBEKV435840	004	Ganjaflex	GX-BAED0024	Outer door handle	62.72	installed	2	
CILK8KOBEKV435840	004	Ganjaflex	GX-EAES0112	IMA sensor	105.76	installed	2	
D6G5OGFOYI1530826	002	Ganjaflex	GX-EAES0094	Anti-pinch sensor	10.02	ordered	1	
FCT22KMD6SQ218332	001	Ganjaflex	GX-EAES0099	Knock sensor	42.68	installed	1	
FCT22KMD6SQ218332	001	Ganjaflex	GX-EAES0105	Rain sensor	198.14	installed	1	
FCT22KMD6SQ218332	001	Ganjaflex	GX-EAEWH0130	Interior harness	227.87	installed	2	
FTCE5VQVNQJ191984	001	Ganjaflex	GX-BAED0029	Hinge	50.99	received	1	
FTCE5VQVNQJ191984	001	Ganjaflex	GX-EAEESS0055	Battery box	28.58	received	1	
G6I3LMORPXN360656	001	Ganjaflex	GX-BAED0031	Lock	18.59	installed	1	
G6I3LMORPXN360656	001	Ganjaflex	GX-BAEW0035	Sunroof motor	23.53	installed	1	
G6I3LMORPXN360656	001	Ganjaflex	GX-EAEM0137	Door contact	21.13	installed	1	
H7VHOTCWTFW799868	002	Ganjaflex	GX-BAED0023	Door beam and panel	295.23	installed	1	
JSTTHRDPVRV710732	002	Ganjaflex	GX-BAE0014	Rocker panel	43.97	installed	1	
JSTTHRDPVRV710732	002	Ganjaflex	GX-EAELASS0091	Tail light	290.39	installed	1	
JSTTHRDPVRV710732	002	Ganjaflex	GX-EAEWH0129	Engine compartment harness	55.88	installed	1	
KRP1OF566LN517977	003	Ganjaflex	GX-EAEAD0045	Speaker	52.14	installed	1	
KRP1OF566LN517977	003	Ganjaflex	GX-EAEM0138	Engine computer and management system	49.57	installed	1	
KRP1OF566LN517977	003	Ganjaflex	GX-PACBS0175	Brake pedal	26.36	installed	2	
KWMVI3HK6NU963190	002	Ganjaflex	GX-BAEW0039	Windshield washer motor	118.49	received	1	
KWMVI3HK6NU963190	002	Ganjaflex	GX-EAEIS0082	Magneto	189.47	received	4	
KWMVI3HK6NU963190	002	Ganjaflex	GX-EAES0110	TDC sensor	57.41	ordered	1	
R37ZLRN60JE207579	002	Ganjaflex	GX-BAE0002	Unexposed bumper	81.08	ordered	1	
R37ZLRN60JE207579	002	Ganjaflex	GX-BAE0019	Trim package	147.42	ordered	4	
R37ZLRN60JE207579	002	Ganjaflex	GX-BAE0020	Trunk	63.90	received	1	
R37ZLRN60JE207579	002	Ganjaflex	GX-BAE0021	Valance	92.29	installed	1	
R8FUQRGVB58128190	003	Ganjaflex	GX-BAED0027	Door seal	54.10	installed	1	
R8FUQRGVB58128190	003	Ganjaflex	GX-ICS0154	Bench Seat	32.59	installed	4	
R8FUQRGVB58128190	003	Ganjaflex	GX-ICS0158	Headrest	25.12	installed	1	
R8FUQRGVB58128190	003	Ganjaflex	GX-IFCAP0152	Center console	56.06	installed	1	
RUKBZJNR8XM010336	002	Ganjaflex	GX-EAEGAM0073	Voltmeter	17.59	received	4	
RUKBZJNR8XM010336	002	Ganjaflex	GX-EAEIS0082	Magneto	74.58	ordered	2	
RUKBZJNR8XM010336	002	Ganjaflex	GX-EAEM0146	Shift improver	12.52	installed	1	
RUKBZJNR8XM010336	002	Ganjaflex	GX-EAES0111	MAP sensor	42.92	installed	1	
VBMS3KE5ODR707703	001	Ganjaflex	GX-BAEW0035	Sunroof motor	36.51	installed	1	
VBMS3KE5ODR707703	001	Ganjaflex	GX-EAEIS0081	Ignition controller	3.83	received	1	
VBMS3KE5ODR707703	001	Ganjaflex	GX-PACBS0176	Brake piston	60.34	installed	1	
VOKGSMA74EZ148991	001	Ganjaflex	GX-BAE0004	Cowl screen	215.68	received	1	
VOKGSMA74EZ148991	001	Ganjaflex	GX-EAEM0144	Relay connector	195.64	installed	1	
VYPRV5PC07K888007	002	Ganjaflex	GX-BAE0017	Front spoiler	268.33	installed	1	
VYPRV5PC07K888007	002	Ganjaflex	GX-EAES0109	ABS brack sensor	95.82	installed	1	
VYPRV5PC07K888007	002	Ganjaflex	GX-EAES0112	IMA sensor	74.98	installed	1	
VYPRV5PC07K888007	002	Ganjaflex	GX-PACBS0192	Air brake nylon hose	1.75	installed	1	
Z8OB1ZI0ID1801113	002	Ganjaflex	GX-BAE0021	Valance	23.64	installed	1	
Z8OB1ZI0ID1801113	002	Ganjaflex	GX-EAES0102	Oxygen sensor	85.53	ordered	1	
Z8OB1ZI0ID1801113	002	Ganjaflex	GX-EAES0107	Temperature sensor	136.64	ordered	3	
ZT5DFBQIT8M015828	001	Ganjaflex	GX-EAEIS0076	Distributor	109.61	received	1	
ZT5DFBQIT8M015828	001	Ganjaflex	GX-EAELASS0089	License plate lamp	57.19	installed	1	
ZT5DFBQIT8M015828	001	Ganjaflex	GX-ICS0159	Seat Belt	97.45	ordered	1	
087A6BFATOR453440	003	Golddex	GX-BAE0007	Fender Musical Instruments Corporation	114.70	received	1	
087A6BFATOR453440	003	Golddex	GX-IFCAP0151	Carpet and other floor material	83.68	received	1	
0C6AL84V5KK246421	004	Golddex	GX-EAELASS0090	Side lighting	28.26	installed	1	
0C6AL84V5KK246421	004	Golddex	GX-EAES0097	Engine sensor	15.12	installed	1	
0C6AL84V5KK246421	004	Golddex	GX-EAES0110	TDC sensor	2.73	installed	1	
0C6AL84V5KK246421	004	Golddex	GX-EAEWH0130	Interior harness	8.27	installed	1	
0KOHAMIDMJB280989	002	Golddex	GX-BAE0021	Valance	35.21	installed	1	
0KOHAMIDMJB280989	002	Golddex	GX-EAEM0139	Engine control unit	74.50	installed	1	
0KOHAMIDMJB280989	002	Golddex	GX-EAES0114	ABS sensor	14.59	installed	1	
0KOHAMIDMJB280989	002	Golddex	GX-PACBS0177	Brake pump	101.93	installed	1	
1REUJOXJD2T955464	004	Golddex	GX-IFCAP0152	Center console	43.15	installed	1	
1REUJOXJD2T955464	004	Golddex	GX-PACBS0198	Other braking system parts	48.91	installed	2	
2DLWYHDZYE1017904	002	Golddex	GX-EAEIS0078	Ignition box	365.22	installed	1	
2DLWYHDZYE1017904	002	Golddex	GX-EAES0107	Temperature sensor	97.97	installed	3	
2DLWYHDZYE1017904	002	Golddex	GX-PACBS0182	Brake lining	170.70	installed	1	
2HYIZGUWIQF039003	002	Golddex	GX-EAEESS0054	Performance battery	219.94	received	1	
2HYIZGUWIQF039003	002	Golddex	GX-ICS0161	Seat cover	162.60	received	1	
2MXZFXYFPK5303143	001	Golddex	GX-BAEW0037	Window regulator	235.09	installed	1	
2MXZFXYFPK5303143	001	Golddex	GX-EAEIS0075	Coil wire	161.31	installed	1	
2MXZFXYFPK5303143	001	Golddex	GX-PACBS0184	Brake warning light	171.12	installed	1	
3TQKT45OH5Y580038	001	Golddex	GX-EAEAD0042	Antenna cable	41.63	received	2	
3TQKT45OH5Y580038	001	Golddex	GX-EAELASS0086	Headlight	39.60	ordered	2	
3TQKT45OH5Y580038	001	Golddex	GX-EAES0096	Crankshaft position sensor	11.21	installed	1	
4NU1XG1A1PK229738	003	Golddex	GX-PACBS0163	Anti-lock braking system	167.76	installed	1	
AFE0T2SJB3M292600	003	Golddex	GX-ICS0154	Bench Seat	67.43	installed	1	
ATOFM1EBV8T015290	004	Golddex	GX-EAELASS0090	Side lighting	3.11	installed	2	
BK0HC8HZ0U6896211	001	Golddex	GX-EAEM0147	Speed controller	28.28	ordered	1	
BK0HC8HZ0U6896211	006	Golddex	GX-BAE0007	Fender Musical Instruments Corporation	0.92	received	1	
BK0HC8HZ0U6896211	006	Golddex	GX-EAELASS0089	License plate lamp	75.43	ordered	1	
BK0HC8HZ0U6896211	006	Golddex	GX-EAELASS0092	Tail light cover	69.82	ordered	1	
BK0HC8HZ0U6896211	006	Golddex	GX-EAES0125	Switch panel	42.90	received	4	
BX1TFRAUCMT043629	003	Golddex	GX-EAEAD0046	Tuner	572.60	installed	1	
BX1TFRAUCMT043629	003	Golddex	GX-EAEM0132	Air bag control module	172.62	installed	1	
BX1TFRAUCMT043629	003	Golddex	GX-ICS0158	Headrest	752.72	installed	1	
CMI2TOM7S2T094938	001	Golddex	GX-BAE0009	Front fascia and header panel	86.11	installed	1	
CMI2TOM7S2T094938	001	Golddex	GX-ICS0160	Seat bracket	178.07	installed	1	
CMI2TOM7S2T094938	001	Golddex	GX-PACBS0168	Brake backing plate	94.00	installed	1	
DK77EOISMG7876504	002	Golddex	GX-EAEESS0057	Battery cable	231.27	installed	3	
DK77EOISMG7876504	002	Golddex	GX-EAES0110	TDC sensor	201.42	installed	1	
E0YFKX8BLTL142394	001	Golddex	GX-BAE0022	Welded assembly	532.21	installed	1	
E0YFKX8BLTL142394	001	Golddex	GX-BAEW0038	Windshield	149.00	installed	2	
E0YFKX8BLTL142394	001	Golddex	GX-EAEM0143	Performance Monitor	97.47	installed	1	
E0YFKX8BLTL142394	001	Golddex	GX-EAES0100	Light sensor	219.54	installed	2	
ELOHA60HGW0225638	001	Golddex	GX-EAES0120	Door switch	299.49	installed	4	
F2A8DSW1QYV603526	004	Golddex	GX-EAEESS0057	Battery cable	104.53	ordered	1	
F2A8DSW1QYV603526	004	Golddex	GX-EAEM0145	Remote lock	29.72	installed	1	
F2A8DSW1QYV603526	004	Golddex	GX-EAES0105	Rain sensor	11.84	received	1	
FK7Q7XYMZUL655715	001	Golddex	GX-EAEIS0078	Ignition box	105.60	installed	1	
FK7Q7XYMZUL655715	001	Golddex	GX-EAES0106	Rotational sensor	8.21	installed	1	
FK7Q7XYMZUL655715	001	Golddex	GX-EAES0123	Steering column switch	18.76	installed	1	
FWXC41T1VBE544839	001	Golddex	GX-EAELASS0084	Fog Light	127.58	installed	1	
FWXC41T1VBE544839	001	Golddex	GX-EAES0099	Knock sensor	80.24	installed	1	
GVT0E3IPLDI548031	001	Golddex	GX-BAED0023	Door beam and panel	58.90	installed	4	
GVT0E3IPLDI548031	001	Golddex	GX-EAEAD0044	Other devices	52.28	installed	1	
GVT0E3IPLDI548031	001	Golddex	GX-EAES0110	TDC sensor	74.64	installed	1	
H5HS4CYPKMN555181	002	Golddex	GX-BAE0010	Grille	7.69	installed	1	
H5HS4CYPKMN555181	002	Golddex	GX-BAE0018	Rear spoiler	101.70	installed	1	
I3KJG41FDMB799433	001	Golddex	GX-BAEW0039	Windshield washer motor	13.05	installed	1	
I3KJG41FDMB799433	001	Golddex	GX-EAECS0048	Alternator	39.77	installed	2	
I3KJG41FDMB799433	001	Golddex	GX-EAEESS0053	Battery	58.35	installed	2	
I3KJG41FDMB799433	001	Golddex	GX-EAES0112	IMA sensor	0.61	installed	1	
JCSWK7YNNU4772939	003	Golddex	GX-EAEIS0079	Ignition Coil	82.80	installed	1	
JCSWK7YNNU4772939	003	Golddex	GX-EAES0126	Thermostat	13.17	ordered	1	
JCSWK7YNNU4772939	003	Golddex	GX-EAESS0118	Starter solenoid	94.14	installed	1	
JG225CRK0P7396477	001	Golddex	GX-BAE0012	Quarter panel	5.34	installed	1	
JG225CRK0P7396477	001	Golddex	GX-BAE0015	Roof Rack	109.03	installed	5	
JG225CRK0P7396477	001	Golddex	GX-EAEWH0128	Air conditioning harness	66.90	installed	1	
L1HOHDZNBHV145467	003	Golddex	GX-BAED0029	Hinge	23.64	installed	1	
MYFEXB6J80A683292	001	Golddex	GX-EAEGAM0070	Temperature gauge	321.31	ordered	1	
MYFEXB6J80A683292	001	Golddex	GX-EAEIS0077	Electronic timing controller	10.59	ordered	4	
MYFEXB6J80A683292	001	Golddex	GX-EAES0109	ABS brack sensor	252.21	installed	1	
MYFEXB6J80A683292	001	Golddex	GX-PACBS0180	Brake servo	44.98	ordered	1	
NE217XL1T4C839531	003	Golddex	GX-BAE0003	Exposed bumper	218.12	installed	1	
NE217XL1T4C839531	003	Golddex	GX-BAED0027	Door seal	196.78	installed	1	
NE217XL1T4C839531	003	Golddex	GX-EAEGAM0069	Tachometer	145.01	installed	1	
NE217XL1T4C839531	003	Golddex	GX-EAEM0145	Remote lock	50.84	installed	1	
OEHOHX1J7K3285196	005	Golddex	GX-EAEESS0054	Performance battery	4.78	received	2	
OEHOHX1J7K3285196	005	Golddex	GX-EAEESS0056	Battery cable terminal	49.29	installed	4	
OIJMG7VO2RW806249	004	Golddex	GX-EAELASS0083	Engine bay lighting	212.62	installed	1	
OIJMG7VO2RW806249	004	Golddex	GX-EAES0105	Rain sensor	201.25	installed	1	
PTTFTM1P45G415992	002	Golddex	GX-PACBS0196	Master Cylinder	153.94	installed	2	
Q4HQR2HYEHH708463	001	Golddex	GX-EAEESS0060	Battery tray	4.10	installed	1	
Q4HQR2HYEHH708463	001	Golddex	GX-EAEM0138	Engine computer and management system	11.47	ordered	1	
Q4HQR2HYEHH708463	001	Golddex	GX-IFCAP0151	Carpet and other floor material	13.67	installed	1	
Q4HQR2HYEHH708463	001	Golddex	GX-PACBS0167	Bleed nipple	32.95	ordered	1	
R8FUQRGVB58128190	005	Golddex	GX-BAE0016	Spoiler	16.48	installed	4	
R8FUQRGVB58128190	005	Golddex	GX-BAED0028	Door watershield	35.08	installed	1	
RANYR1X34OF225773	002	Golddex	GX-EAEESS0053	Battery	71.66	installed	1	
RLL75KB2SDL503399	001	Golddex	GX-BAE0001	Bumper	135.61	installed	1	
RLL75KB2SDL503399	001	Golddex	GX-BAE0012	Quarter panel	19.75	installed	2	
RLL75KB2SDL503399	001	Golddex	GX-BAE0014	Rocker panel	180.86	installed	1	
SYVHZOGUR0Z818178	002	Golddex	GX-BAE0003	Exposed bumper	66.90	installed	1	
SYVHZOGUR0Z818178	002	Golddex	GX-EAES0123	Steering column switch	71.20	installed	1	
TXTT5RIP3RV876994	002	Golddex	GX-EAES0108	Transmission input and output sensor	121.27	installed	4	
UBTL1IWABB8760167	003	Golddex	GX-EAELASS0085	Halogen	14.47	installed	2	
UBTL1IWABB8760167	003	Golddex	GX-EAEM0150	Wiring connector	96.40	installed	1	
UBTL1IWABB8760167	003	Golddex	GX-PACBS0172	Brake drum	48.26	installed	2	
V4FC2PCIIFP457795	002	Golddex	GX-BAE0005	Decklid	57.69	installed	1	
V4FC2PCIIFP457795	002	Golddex	GX-BAEW0037	Window regulator	179.09	installed	4	
V4FC2PCIIFP457795	002	Golddex	GX-EAELASS0091	Tail light	78.09	installed	3	
V4FC2PCIIFP457795	002	Golddex	GX-EAEM0149	Transmission computer	110.53	installed	1	
W51BNA7K2XN285084	001	Golddex	GX-BAED0024	Outer door handle	123.26	installed	1	
W51BNA7K2XN285084	001	Golddex	GX-EAELASS0090	Side lighting	263.86	installed	1	
W51BNA7K2XN285084	001	Golddex	GX-ICS0160	Seat bracket	158.10	installed	1	
WVHB7F4NOZA643269	002	Golddex	GX-EAEIS0081	Ignition controller	90.61	installed	1	
YADEPAQA7YM798643	004	Golddex	GX-EAELASS0089	License plate lamp	383.34	installed	1	
YADEPAQA7YM798643	004	Golddex	GX-EAES0103	Power-steering pressure sensor	134.10	installed	1	
YADEPAQA7YM798643	004	Golddex	GX-ICS0157	Fastener	447.28	installed	1	
YADEPAQA7YM798643	004	Golddex	GX-PACBS0165	Adjusting mechanism	281.36	installed	4	
Z0XH5SZL8DE182621	001	Golddex	GX-EAELASS0088	Interior light and lamp	155.35	installed	2	
0C6AL84V5KK246421	001	Green-Plus	GS-BAE0020	Trunk	28.16	installed	1	
0C6AL84V5KK246421	005	Green-Plus	GS-EAELASS0092	Tail light cover	37.81	installed	1	
0UIMMUNTR5I513788	002	Green-Plus	GS-EAES0121	Ignition Switch	66.05	installed	1	
1LCIYKT5JRA475172	001	Green-Plus	GS-BAE0013	Radiator core support	375.73	installed	2	
1LCIYKT5JRA475172	001	Green-Plus	GS-BAE0016	Spoiler	201.57	installed	1	
1LCIYKT5JRA475172	001	Green-Plus	GS-EAEGAM0068	Speedometer	24.39	installed	1	
1LCIYKT5JRA475172	001	Green-Plus	GS-PACBS0184	Brake warning light	254.88	installed	1	
3DEX0DH8TAW758325	002	Green-Plus	GS-BAE0018	Rear spoiler	83.51	installed	1	
5DUH7JX2WMU677701	001	Green-Plus	GS-10141	Fuse Box: The Alternative Tribute	68.32	installed	1	
7MLMMI8XWKM942519	001	Green-Plus	GS-BAE0020	Trunk	299.77	installed	1	
7MLMMI8XWKM942519	001	Green-Plus	GS-BAED0031	Lock	397.06	installed	1	
7MLMMI8XWKM942519	001	Green-Plus	GS-EAEAD0047	Subwoofer	398.51	installed	2	
7MLMMI8XWKM942519	001	Green-Plus	GS-EAEESS0060	Battery tray	40.75	installed	2	
AE2AOKLPFNP679714	003	Green-Plus	GS-BAEW0039	Windshield washer motor	132.73	installed	1	
AE2AOKLPFNP679714	003	Green-Plus	GS-EAES0099	Knock sensor	84.51	installed	1	
ATTHVVKMWBJ298534	001	Green-Plus	GS-EAEM0147	Speed controller	39.04	installed	1	
B2JZ72LY7MS631123	004	Green-Plus	GS-BAED0024	Outer door handle	38.27	received	2	
B2JZ72LY7MS631123	004	Green-Plus	GS-EAEM0137	Door contact	85.55	received	1	
B2JZ72LY7MS631123	004	Green-Plus	GS-EAES0126	Thermostat	42.54	installed	1	
B2RVPIQTQU5029501	001	Green-Plus	GS-EAEIS0075	Coil wire	102.09	installed	1	
B2RVPIQTQU5029501	002	Green-Plus	GS-EAES0107	Temperature sensor	22.87	installed	1	
BYM136GK54P990225	001	Green-Plus	GS-BAED0027	Door seal	153.29	installed	1	
BYM136GK54P990225	001	Green-Plus	GS-EAEESS0054	Performance battery	386.59	installed	1	
BYM136GK54P990225	001	Green-Plus	GS-EAES0127	Frame Switch	151.59	installed	1	
BYM136GK54P990225	001	Green-Plus	GS-IFCAP0152	Center console	666.47	installed	1	
GJRQOQ5ZD6M728549	003	Green-Plus	GS-BAE0020	Trunk	58.42	installed	1	
GJRQOQ5ZD6M728549	003	Green-Plus	GS-EAEM0137	Door contact	48.60	installed	1	
GMQCXSTWVCO631553	001	Green-Plus	GS-EAEESS0059	Battery plate	31.62	received	1	
GMQCXSTWVCO631553	001	Green-Plus	GS-EAEM0132	Air bag control module	2.59	ordered	1	
GMQCXSTWVCO631553	001	Green-Plus	GS-PACBS0172	Brake drum	69.14	ordered	1	
GVT0E3IPLDI548031	002	Green-Plus	GS-EAEESS0053	Battery	73.20	installed	2	
GVT0E3IPLDI548031	002	Green-Plus	GS-EAELASS0083	Engine bay lighting	7.59	installed	1	
GVT0E3IPLDI548031	002	Green-Plus	GS-PACBS0176	Brake piston	93.25	installed	1	
HXYKUNHFST8923803	003	Green-Plus	GS-EAELASS0085	Halogen	72.75	installed	1	
HXYKUNHFST8923803	003	Green-Plus	GS-EAESS0119	Spark Plug	66.55	installed	1	
HXYKUNHFST8923803	003	Green-Plus	GS-PACBS0171	Brake disc	13.78	installed	2	
HXYKUNHFST8923803	003	Green-Plus	GS-PACBS0186	Caliper	99.21	installed	4	
IDF5Z0PDZ3H631808	001	Green-Plus	GS-BAEW0034	Sunroof	392.43	installed	1	
IDF5Z0PDZ3H631808	001	Green-Plus	GS-EAEIS0077	Electronic timing controller	618.49	installed	1	
IDF5Z0PDZ3H631808	001	Green-Plus	GS-EAEIS0082	Magneto	367.99	installed	1	
MYFEXB6J80A683292	003	Green-Plus	GS-EAEAD0044	Other devices	123.60	ordered	1	
MYFEXB6J80A683292	003	Green-Plus	GS-EAELASS0092	Tail light cover	129.83	received	1	
MYFEXB6J80A683292	003	Green-Plus	GS-EAES0120	Door switch	206.55	ordered	2	
MYFEXB6J80A683292	003	Green-Plus	GS-PACBS0167	Bleed nipple	260.13	ordered	1	
N041TL677X0120634	004	Green-Plus	GS-BAE0004	Cowl screen	226.87	installed	1	
N041TL677X0120634	004	Green-Plus	GS-EAEESS0057	Battery cable	111.79	installed	1	
N041TL677X0120634	004	Green-Plus	GS-EAEM0135	Chassis control computer	166.40	installed	1	
NB8SWRCD36Z177457	003	Green-Plus	GS-EAES0122	Power window switch	291.18	installed	1	
NJU66JAUO8K784929	001	Green-Plus	GS-BAEW0039	Windshield washer motor	243.25	installed	1	
NJU66JAUO8K784929	001	Green-Plus	GS-PACBS0165	Adjusting mechanism	195.03	installed	1	
